annotation	Layer	BLISS_avg_signal
Genic	1	0.00142413479750084
Intergenic	1	0.00114510305017711
Genic	2	0.00140481195182627
Intergenic	2	0.00125462015360272
Genic	3	0.00153621259270156
Intergenic	3	0.00133199614864169
Genic	4	0.00174954228961602
Intergenic	4	0.00144973418331463
Genic	5	0.00203438127938602
Intergenic	5	0.00175194152041433
Genic	6	0.00229104040319776
Intergenic	6	0.00204624474569592
Genic	7	0.00260162178393782
Intergenic	7	0.00233980970326705
Genic	8	0.00298153510805393
Intergenic	8	0.00266394673300627
Genic	9	0.00327117138280143
Intergenic	9	0.00297635676208993
Genic	10	0.00355555940487177
Intergenic	10	0.00295095305306588
