dln	norm_sig
0.03	0.132345075337606
0.035	0.148701777377345
0.04	0.16382923230238
0.045	0.140070198351155
0.05	0.13152940307874
0.055	0.122767628069833
0.06	0.12355023806617
0.065	0.122084631163109
0.07	0.122388059701493
0.075	0.123573224995163
0.08	0.123113574581126
0.085	0.13106461255461
0.09	0.138165384482699
0.095	0.136371638806851
0.1	0.137743092042611
0.105	0.145496966868875
0.11	0.145131048789245
0.115	0.148989975930045
0.12	0.151833821254018
0.125	0.156228211359498
0.13	0.152244910417239
0.135	0.152599609194307
0.14	0.15678065489463
0.145	0.164771688663035
0.15	0.156022904737116
0.155	0.154963411107898
0.16	0.162240501370936
0.165	0.153697931004336
0.17	0.165214544721998
0.175	0.157514256616763
0.18	0.154131794131794
0.185	0.154189352854256
0.19	0.154257253844213
0.195	0.155562924888078
0.2	0.156677798455146
0.205	0.156244715749603
0.21	0.157790964415038
0.215	0.157408474136406
0.22	0.154012896017108
0.225	0.157958780135372
0.23	0.16265251837759
0.235	0.162959689694113
0.24	0.165663035758709
0.245	0.163744212976798
0.25	0.165826962988872
0.255	0.166184937061096
0.26	0.16590166645991
0.265	0.168356798267205
0.27	0.166499239290222
0.275	0.170078810878162
0.28	0.175230270547835
0.285	0.172094548069345
0.29	0.176622393271872
0.295	0.16937199149222
0.3	0.170877515689245
0.305	0.174404239321924
0.31	0.174181362556804
0.315	0.174045636061207
0.32	0.178983118358216
0.325	0.174286897830432
0.33	0.179524661794816
0.335	0.175452683984422
0.34	0.178454029285785
0.345	0.180342649763849
0.35	0.181431005110733
0.355	0.18069352530506
0.36	0.182979261507334
0.365	0.180387255548885
0.37	0.184255189520867
0.375	0.186576726071407
0.38	0.186163444936187
0.385	0.184174447126757
0.39	0.188233344723252
0.395	0.185441304202579
0.4	0.186701907826432
0.405	0.189858896377984
0.41	0.18704294810086
0.415	0.189629788259229
0.42	0.19057510463494
0.425	0.191097486545676
0.43	0.194601768876173
0.435	0.193605821199075
0.44	0.190305530198014
0.445	0.191005887510961
0.45	0.196997486583792
0.455	0.193154810680105
0.46	0.196246810612088
0.465	0.201490261013552
0.47	0.197866100874939
0.475	0.199896268428338
0.48	0.196983061587082
0.485	0.199858916478555
0.49	0.198514594968047
0.495	0.204129297083593
0.5	0.194679598799384
0.505	0.208604721230529
0.51	0.204541597427281
0.515	0.202225735259591
0.52	0.206577811030062
0.525	0.204139373250915
0.53	0.203546485967235
0.535	0.204087649495878
0.54	0.208997006966271
0.545	0.205965187322852
0.55	0.206057332779151
0.555	0.206491093869523
0.56	0.204120432783712
0.565	0.210308097464626
0.57	0.208931240657698
0.575	0.209562080590276
0.58	0.206540969149484
0.585	0.211622966562873
0.59	0.208553676949372
0.595	0.211606572606398
0.6	0.207342069892473
0.605	0.213458068805378
0.61	0.21387252977359
0.615	0.213652785017165
0.62	0.216765333655511
0.625	0.214285714285714
0.63	0.221069486552753
0.635	0.212705635281764
0.64	0.215011571079839
0.645	0.220021530402443
0.65	0.217342814201285
0.655	0.21637309842149
0.66	0.212112041427082
0.665	0.218676322220413
0.67	0.211313690874779
0.675	0.213360811914298
0.68	0.219552585705985
0.685	0.211634489997138
0.69	0.221840174918888
0.695	0.217462594794015
0.7	0.213712391333497
0.705	0.219816759904099
0.71	0.218530750597321
0.715	0.215863412993635
0.72	0.215726342371079
0.725	0.223878391837166
0.73	0.225739425421393
0.735	0.220717225090512
0.74	0.222063481134674
0.745	0.219226774164592
0.75	0.221744892829395
0.755	0.224847539627982
0.76	0.227000919963201
0.765	0.226359733339087
0.77	0.222891833690263
0.775	0.228501252881883
0.78	0.222430075732432
0.785	0.220419378163413
0.79	0.226579591836735
0.795	0.231610785655699
0.8	0.224596894798379
0.805	0.222401404425574
0.81	0.226188736495177
0.815	0.222259700521618
0.82	0.221285812333811
0.825	0.228468352508711
0.83	0.238730120770059
0.835	0.212849029815428
0.84	0.213572331981334
0.845	0.219930332627553
0.85	0.22262915248395
0.855	0.221392207247078
0.86	0.217195676627378
0.865	0.216442910346796
0.87	0.229416974738139
0.875	0.233076051294523
0.88	0.229082656932158
0.885	0.23067991862645
0.89	0.234059385053531
0.895	0.225787947353326
0.9	0.21663887600158
0.905	0.225160204543983
0.91	0.221635058274646
0.915	0.260482126300608
0.92	0.222234001686915
0.925	0.209430914512922
0.93	0.201254743014833
0.935	0.227770840297795
0.94	0.0777862247225179
0.995	0.221205915813424
