Pathway	Layer	N	Fraction	Enrichment
myc_targets_v2	3	4	0.0727272727272727	-0.335906831130211
myc_targets_v2	4	5	0.0909090909090909	-0.526620590121681
myc_targets_v2	5	4	0.0727272727272727	-0.988860545998851
myc_targets_v2	6	3	0.0545454545454545	-1.12366487039458
myc_targets_v2	7	9	0.163636363636364	0.518861033402175
myc_targets_v2	8	11	0.2	0.973729126897229
myc_targets_v2	9	8	0.145454545454545	0.577157532098508
myc_targets_v2	10	11	0.2	0.244988299992754
housekeeping	1	4	0.0011883541295306	-0.883866172454516
housekeeping	2	59	0.0175282234105764	-0.753971714499808
housekeeping	3	182	0.0540701128936423	-0.763571938736804
housekeeping	4	363	0.107843137254902	-0.280182694818582
housekeeping	5	459	0.136363636363636	-0.0819699503903324
housekeeping	6	418	0.124183006535948	0.0632720131598575
housekeeping	7	434	0.12893642305407	0.175027516599052
housekeeping	8	405	0.120320855614973	0.240615858226629
housekeeping	9	359	0.106654783125371	0.12953781811627
housekeeping	10	683	0.20291146761735	0.265838701840257
homeobox	2	5	0.0224215246636771	-0.398767107564643
homeobox	3	18	0.0807174887892377	-0.185522016083544
homeobox	4	25	0.112107623318386	-0.224232681629963
homeobox	5	28	0.125560538116592	-0.201045810336892
homeobox	6	42	0.188340807174888	0.664149865267379
homeobox	7	37	0.165919282511211	0.538849211193167
homeobox	8	37	0.165919282511211	0.704210687493236
homeobox	9	14	0.062780269058296	-0.635027732239533
homeobox	10	17	0.0762331838565022	-1.14652066378985
