res	method	pcc
1e+07	Ps_adj	0.883145319500072
1e+07	Ps_2pt	0.825527975571966
1e+07	Ps_fix	0.838318527545226
1e+07	Psc_2pt	0.838318527545226
1e+07	Psc_fix	0.847430039471782
1e+07	Psc_adj	0.879886662782009
1e+07	V_2pt	0.888098265069741
1e+07	V_fix	0.884998022462451
1e+07	cd_2pt	0.741296301329356
1e+07	cd_fix	0.786810366382923
1e+07	cv_2pt	-0.79815399585792
1e+07	cv_fix	-0.899790523457072
1e+06	Ps_adj	0.892326486054454
1e+06	Ps_2pt	0.831291854132035
1e+06	Ps_fix	0.853369776683966
1e+06	Psc_2pt	0.853369776683966
1e+06	Psc_fix	0.858166145427886
1e+06	Psc_adj	0.88410116313624
1e+06	V_2pt	0.819745780637028
1e+06	V_fix	0.835779901286709
1e+06	cd_2pt	0.395168201550878
1e+06	cd_fix	0.511189623294065
1e+06	cv_2pt	-0.643763114513298
1e+06	cv_fix	-0.733606498319435
5e+05	Ps_adj	0.870452634823109
5e+05	Ps_2pt	0.784273811098435
5e+05	Ps_fix	0.818757435095911
5e+05	Psc_2pt	0.818757435095911
5e+05	Psc_fix	0.821876238738864
5e+05	Psc_adj	0.859000116714892
5e+05	V_2pt	0.758836567827803
5e+05	V_fix	0.770999587793748
5e+05	cd_2pt	0.317351983745072
5e+05	cd_fix	0.434166424205392
5e+05	cv_2pt	-0.522139928623131
5e+05	cv_fix	-0.611493835490421
250000	Ps_adj	0.857760127383253
250000	Ps_2pt	0.772500777380083
250000	Ps_fix	0.787702700228885
250000	Psc_2pt	0.78770307452347
250000	Psc_fix	0.789745022080297
250000	Psc_adj	0.839589033316596
250000	V_2pt	0.739557689286193
250000	V_fix	0.737035792796058
250000	cd_2pt	0.304444461330568
250000	cd_fix	0.405064298380292
250000	cv_2pt	-0.287618602282723
250000	cv_fix	-0.341884493868209
1e+05	Ps_adj	0.798221717632926
1e+05	Ps_2pt	0.647298404167517
1e+05	Ps_fix	0.731258254086601
1e+05	Psc_2pt	0.731258270606273
1e+05	Psc_fix	0.755076536426941
1e+05	Psc_adj	0.800768174469587
1e+05	V_2pt	0.687437212170778
1e+05	V_fix	0.674092566264725
1e+05	cd_2pt	0.226070046969607
1e+05	cd_fix	0.278333624405008
1e+05	cv_2pt	-0.209490760253552
1e+05	cv_fix	-0.258006920404739
50000	Ps_adj	0.708094964523291
50000	Ps_2pt	0.491037356184482
50000	Ps_fix	0.596540594861529
50000	Psc_2pt	0.596540744172344
50000	Psc_fix	0.631157964633026
50000	Psc_adj	0.682845979514132
50000	V_2pt	0.50053372506743
50000	V_fix	0.484492720298514
50000	cd_2pt	0.179126173012919
50000	cd_fix	0.183261512691036
50000	cv_2pt	-0.214127299680341
50000	cv_fix	-0.180569315844612
25000	Ps_adj	0.643566663147121
25000	Ps_2pt	0.471869557110777
25000	Ps_fix	0.542276757341387
25000	Psc_2pt	0.542276784000518
25000	Psc_fix	0.573248170584335
25000	Psc_adj	0.646027729386012
25000	V_2pt	0.472142928604837
25000	V_fix	0.496312861559635
25000	cd_2pt	0.274549307701166
25000	cd_fix	0.269913126456909
25000	cv_2pt	-0.0555524791555577
25000	cv_fix	-0.0649213685086287
10000	Ps_adj	0.296359001186707
10000	Ps_2pt	0.147714517731687
10000	Ps_fix	0.239195408954722
10000	Psc_2pt	0.239195538859749
10000	Psc_fix	0.273764464985307
10000	Psc_adj	0.345573446392569
10000	V_2pt	0.201602656301219
10000	V_fix	0.248299391640322
10000	cd_2pt	0.274478033838707
10000	cd_fix	0.366719212107369
10000	cv_2pt	-0.0253821312943887
10000	cv_fix	-0.0607464528651767
