depth	variable	value
0.05	median_reads	68
0.1	median_reads	136
0.15	median_reads	205
0.2	median_reads	274
0.25	median_reads	341
0.3	median_reads	409
0.35	median_reads	479
0.4	median_reads	548
0.45	median_reads	615
0.5	median_reads	684
0.55	median_reads	751
0.6	median_reads	820
0.65	median_reads	889
0.7	median_reads	959
0.75	median_reads	1028.5
0.8	median_reads	1097
0.85	median_reads	1166
0.9	median_reads	1234.5
0.95	median_reads	1302.5
1	median_reads	1371.5
0.05	median_sites	52
0.1	median_sites	87
0.15	median_sites	113
0.2	median_sites	134
0.25	median_sites	150
0.3	median_sites	164
0.35	median_sites	176
0.4	median_sites	186
0.45	median_sites	194
0.5	median_sites	202
0.55	median_sites	208
0.6	median_sites	214
0.65	median_sites	219
0.7	median_sites	224
0.75	median_sites	228
0.8	median_sites	231
0.85	median_sites	235
0.9	median_sites	238
0.95	median_sites	241
1	median_sites	244
0.05	median_reads_per_site	1.3140056022409
0.1	median_reads_per_site	1.55769230769231
0.15	median_reads_per_site	1.78867521367521
0.2	median_reads_per_site	2
0.25	median_reads_per_site	2.22151898734177
0.3	median_reads_per_site	2.44334975369458
0.35	median_reads_per_site	2.65882352941176
0.4	median_reads_per_site	2.86842105263158
0.45	median_reads_per_site	3.09178743961353
0.5	median_reads_per_site	3.30705394190871
0.55	median_reads_per_site	3.52466367713005
0.6	median_reads_per_site	3.75105485232068
0.65	median_reads_per_site	3.95798319327731
0.7	median_reads_per_site	4.18297872340426
0.75	median_reads_per_site	4.40412895927602
0.8	median_reads_per_site	4.62324477916632
0.85	median_reads_per_site	4.86199836199836
0.9	median_reads_per_site	5.07555111650139
0.95	median_reads_per_site	5.30404306220096
1	median_reads_per_site	5.55114914818386
0.05	sd_reads_per_site	0.39541124950282
0.1	sd_reads_per_site	0.706999600087454
0.15	sd_reads_per_site	0.966717534056162
0.2	sd_reads_per_site	1.26527339108824
0.25	sd_reads_per_site	1.57356867535109
0.3	sd_reads_per_site	1.81696737710265
0.35	sd_reads_per_site	2.11099429992733
0.4	sd_reads_per_site	2.4243619749954
0.45	sd_reads_per_site	2.72857700480671
0.5	sd_reads_per_site	2.98283977107982
0.55	sd_reads_per_site	3.26722769189896
0.6	sd_reads_per_site	3.56579907306832
0.65	sd_reads_per_site	3.86706383520496
0.7	sd_reads_per_site	4.12126368974635
0.75	sd_reads_per_site	4.36540538290445
0.8	sd_reads_per_site	4.6559468177109
0.85	sd_reads_per_site	4.9424646468126
0.9	sd_reads_per_site	5.23132597533083
0.95	sd_reads_per_site	5.51588648346956
1	sd_reads_per_site	5.81630865818696
