depth	res	pcc
5	1e+05	0.0539499987900563
10	1e+05	0.425573547638207
15	1e+05	0.629389581151405
20	1e+05	0.587666035907478
25	1e+05	0.671443483827638
30	1e+05	0.664999774264372
35	1e+05	0.713929178055725
40	1e+05	0.720530736288353
45	1e+05	0.728489993281724
50	1e+05	0.729265856325974
55	1e+05	0.731215221577541
60	1e+05	0.732250855109307
65	1e+05	0.739825190775172
70	1e+05	0.75234276966576
75	1e+05	0.755843185403272
80	1e+05	0.764724431060433
85	1e+05	0.784943161434483
90	1e+05	0.789111523339483
95	1e+05	0.797083390173511
100	1e+05	0.798221717632926
5	1e+06	0.384292514443854
10	1e+06	0.577156774749578
15	1e+06	0.703635775699458
20	1e+06	0.7427563029028
25	1e+06	0.798393629619228
30	1e+06	0.838377496083244
35	1e+06	0.848197438316235
40	1e+06	0.86404440940327
45	1e+06	0.873862562039435
50	1e+06	0.876186696022988
55	1e+06	0.879933697274255
60	1e+06	0.879020509978534
65	1e+06	0.879293078937991
70	1e+06	0.883480261662558
75	1e+06	0.884733045715831
80	1e+06	0.884912136473961
85	1e+06	0.88666984670302
90	1e+06	0.888978826770007
95	1e+06	0.891505990491646
100	1e+06	0.892326486054454
